disregistry,d,energy,energy_err
0.0,3.0,-154.59560385117527,0.0006246728951687239
0.0,3.2,-154.60526175928538,0.00218499073579907
0.0,3.35,-154.60934905246853,0.00012987783542862795
0.0,3.5,-154.61032284616155,0.0001981560279821811
0.0,3.65,-154.60800168990403,0.00024067768246327674
0.0,3.8,-154.6057846070525,0.0006976416084969913
0.0,4.0,-154.60394835386126,0.0007060404785496524
0.0,4.5,-154.59732563932363,0.0003760897976453547
0.0,5.0,-154.59371283790477,0.0006300259731394012
0.16667,3.0,-154.59367272984974,0.0008256268481462115
0.16667,3.2,-154.6059405493171,0.0004881019013795939
0.16667,3.35,-154.60844595322976,0.0002458962057285028
0.16667,3.5,-154.6094307607873,0.00018392539171798976
0.16667,3.65,-154.60889268745456,7.963548603920887e-05
0.16667,3.8,-154.60595431215148,0.00013344964064542693
0.16667,4.0,-154.60343551509226,0.0005494334598936179
0.16667,4.5,-154.59753799536554,0.001268833628122946
0.16667,5.0,-154.59310959767498,0.0007799605478099507
0.5,3.0,-154.58728817035666,0.0014281541094395569
0.5,3.2,-154.60115084633156,0.0011973219926675592
0.5,3.35,-154.60659021770974,0.00014777114535192743
0.5,3.5,-154.60769724465786,0.00011036586042630484
0.5,3.65,-154.60760731377374,0.0008751339152041335
0.5,3.8,-154.60564213615552,0.0005144533386451728
0.5,4.0,-154.60302722947196,5.194076455178869e-05
0.5,4.5,-154.59757548090033,0.00021908705616693623
0.5,5.0,-154.5935188400672,0.0001923978219972317
0.66667,3.0,-154.57374776990355,0.0006429176616348641
0.66667,3.2,-154.59423901074334,0.003282347461500554
0.66667,3.35,-154.60271857212098,0.0006004099071341701
0.66667,3.5,-154.60505040100912,0.0005427077347613859
0.66667,3.65,-154.60579660697815,5.2382669436516394e-05
0.66667,3.8,-154.60475444584125,0.0006463327772299985
0.66667,4.0,-154.60251385678086,0.0005373667093335429
0.66667,4.5,-154.5980556595511,0.0007368805411530256
0.66667,5.0,-154.5928873771206,0.0012231057702623866
